model,feature,r2,mae,mape,n
lstm,evtoi_per_gp,0.6735304118086973,74.71341341050861,10.422907282437937,840
lstm,pptoi_per_gp,0.6721181565966141,23.28206188228913,351422314722.53296,840
lstm,high_danger_shots_per60,0.6664120947728185,18.736801196049978,10246908531.7411,840
lstm,medium_danger_shots_per60,0.7264962989998988,34.01143415665987,43.694010905362966,840
lstm,x_goals_per60,0.7713933895158288,10.355810917617847,21.322942817829762,840
lstm,shot_attempts_per60,0.3739022226882994,153.3254591449364,14.822495715389596,840
lstm,conversion_high_danger,-0.8030425247151574,0.1527426111737544,4791353438.678553,840
lstm,conversion_medium,-0.03149277840675824,0.0554373967672444,2308618040.1960835,840
lstm,conversion_overall,0.3766204019864724,0.027400790925174195,41.38967799083049,840
