player_name,position,jersey_number,line,pp_unit,team,source
Sam Rinzel,D,6,1,PP1,CHI,dailyfaceoff
Wyatt Kaiser,D,44,2,,CHI,dailyfaceoff
Artyom Levshunov,D,55,2,PP2,CHI,dailyfaceoff
Nolan Allan,D,,3,,CHI,dailyfaceoff
Connor Murphy,D,5,3,,CHI,dailyfaceoff
Artturi Lehkonen,F,62,1,PP2,COL,dailyfaceoff
Nathan MacKinnon,F,29,1,PP1,COL,dailyfaceoff
Martin Necas,F,88,1,PP1,COL,dailyfaceoff
Gabriel Landeskog,F,92,2,PP2,COL,dailyfaceoff
Brock Nelson,F,11,2,PP1,COL,dailyfaceoff
Valeri Nichushkin,F,13,2,PP1,COL,dailyfaceoff
Ross Colton,F,20,3,,COL,dailyfaceoff
Jack Drury,F,18,3,,COL,dailyfaceoff
Victor Olofsson,F,95,3,PP2,COL,dailyfaceoff
Parker Kelly,F,17,4,,COL,dailyfaceoff
Zakhar Bardakov,F,93,4,,COL,dailyfaceoff
Joel Kiviranta,F,94,4,,COL,dailyfaceoff
Devon Toews,D,7,1,PP2,COL,dailyfaceoff
Cale Makar,D,8,1,PP1,COL,dailyfaceoff
Sam Malinski,D,70,2,,COL,dailyfaceoff
Josh Manson,D,42,2,,COL,dailyfaceoff
Keaton Middleton,D,,3,,COL,dailyfaceoff
Brent Burns,D,84,3,PP2,COL,dailyfaceoff
Dmitri Voronkov,F,10,1,PP2,CBJ,dailyfaceoff
Sean Monahan,F,23,1,PP1,CBJ,dailyfaceoff
Kirill Marchenko,F,86,1,PP1,CBJ,dailyfaceoff
Cole Sillinger,F,4,2,,CBJ,dailyfaceoff
Boone Jenner,F,38,2,PP1,CBJ,dailyfaceoff
Adam Fantilli,F,19,2,PP2,CBJ,dailyfaceoff
Kent Johnson,F,91,3,PP1,CBJ,dailyfaceoff
Charlie Coyle,F,3,3,,CBJ,dailyfaceoff
Mathieu Olivier,F,24,3,,CBJ,dailyfaceoff
Yegor Chinakhov,F,59,4,PP2,CBJ,dailyfaceoff
Isac Lundestrom,F,21,4,,CBJ,dailyfaceoff
Miles Wood,F,11,4,,CBJ,dailyfaceoff
Zach Werenski,D,8,1,PP1,CBJ,dailyfaceoff
Dante Fabbro,D,15,1,,CBJ,dailyfaceoff
Ivan Provorov,D,9,2,PP2,CBJ,dailyfaceoff
