player_name,position,jersey_number,line,pp_unit,team,source
Brandon Hagel,F,38,2,PP2,TBL,dailyfaceoff
Anthony Cirelli,F,71,2,PP2,TBL,dailyfaceoff
Gage Goncalves,F,93,2,PP2,TBL,dailyfaceoff
Oliver Bjorkstrand,F,22,3,PP1,TBL,dailyfaceoff
Yanni Gourde,F,37,3,,TBL,dailyfaceoff
Mitchell Chaffee,F,41,3,PP2,TBL,dailyfaceoff
Pontus Holmberg,F,29,4,,TBL,dailyfaceoff
Jack Finley,F,62,4,,TBL,dailyfaceoff
Zemgus Girgensons,F,28,4,,TBL,dailyfaceoff
Victor Hedman,D,77,1,PP1,TBL,dailyfaceoff
J.J. Moser,D,90,1,,TBL,dailyfaceoff
Ryan McDonagh,D,27,2,,TBL,dailyfaceoff
Erik Cernak,D,81,2,,TBL,dailyfaceoff
Emil Lilleberg,D,78,3,,TBL,dailyfaceoff
Darren Raddysh,D,43,3,PP2,TBL,dailyfaceoff
Matthew Knies,F,23,1,PP1,TOR,dailyfaceoff
Auston Matthews,F,34,1,PP1,TOR,dailyfaceoff
Max Domi,F,11,1,PP2,TOR,dailyfaceoff
Bobby McMann,F,74,2,PP2,TOR,dailyfaceoff
John Tavares,F,91,2,PP1,TOR,dailyfaceoff
William Nylander,F,88,2,PP1,TOR,dailyfaceoff
Matias Maccelli,F,63,3,PP2,TOR,dailyfaceoff
Nicolas Roy,F,55,3,PP2,TOR,dailyfaceoff
Dakota Joshua,F,81,3,,TOR,dailyfaceoff
Steven Lorentz,F,18,4,,TOR,dailyfaceoff
David Kampf,F,64,4,,TOR,dailyfaceoff
Easton Cowan,F,,4,,TOR,dailyfaceoff
Jake McCabe,D,22,1,,TOR,dailyfaceoff
Chris Tanev,D,8,1,,TOR,dailyfaceoff
Morgan Rielly,D,44,2,PP1,TOR,dailyfaceoff
Brandon Carlo,D,25,2,,TOR,dailyfaceoff
Oliver Ekman-Larsson,D,95,3,PP2,TOR,dailyfaceoff
Simon Benoit,D,2,3,,TOR,dailyfaceoff
Dylan Guenther,F,11,1,PP1,UTA,dailyfaceoff
Logan Cooley,F,92,1,PP2,UTA,dailyfaceoff
JJ Peterka,F,77,1,PP2,UTA,dailyfaceoff
Clayton Keller,F,9,2,PP1,UTA,dailyfaceoff
Barrett Hayton,F,27,2,PP1,UTA,dailyfaceoff
Nick Schmaltz,F,8,2,PP1,UTA,dailyfaceoff
Lawson Crouse,F,67,3,,UTA,dailyfaceoff
Jack McBain,F,22,3,PP2,UTA,dailyfaceoff
Michael Carcone,F,53,3,,UTA,dailyfaceoff
Kailer Yamamoto,F,56,4,PP2,UTA,dailyfaceoff
Kevin Stenlund,F,82,4,,UTA,dailyfaceoff
Brandon Tanev,F,13,4,,UTA,dailyfaceoff
Mikhail Sergachev,D,98,1,PP1,UTA,dailyfaceoff
John Marino,D,6,1,,UTA,dailyfaceoff
Ian Cole,D,28,2,,UTA,dailyfaceoff
Sean Durzi,D,50,2,PP2,UTA,dailyfaceoff
Nate Schmidt,D,88,3,,UTA,dailyfaceoff
Olli Maatta,D,2,3,,UTA,dailyfaceoff
Jake DeBrusk,F,74,1,PP1,VAN,dailyfaceoff
Elias Pettersson,F,40,1,PP1,VAN,dailyfaceoff
Brock Boeser,F,6,1,PP1,VAN,dailyfaceoff
Evander Kane,F,91,2,PP2,VAN,dailyfaceoff
Filip Chytil,F,72,2,PP1,VAN,dailyfaceoff
Jonathan Lekkerimaki,F,23,2,PP2,VAN,dailyfaceoff
Kiefer Sherwood,F,44,3,,VAN,dailyfaceoff
Teddy Blueger,F,53,3,,VAN,dailyfaceoff
Conor Garland,F,8,3,PP2,VAN,dailyfaceoff
Drew O'Connor,F,18,4,,VAN,dailyfaceoff
Aatu Raty,F,54,4,PP2,VAN,dailyfaceoff
Linus Karlsson,F,94,4,,VAN,dailyfaceoff
Quinn Hughes,D,43,1,PP1,VAN,dailyfaceoff
Filip Hronek,D,17,1,PP2,VAN,dailyfaceoff
Marcus Pettersson,D,29,2,,VAN,dailyfaceoff
Tyler Myers,D,57,2,,VAN,dailyfaceoff
Derek Forbort,D,27,3,,VAN,dailyfaceoff
Elias Nils Pettersson,D,25,3,,VAN,dailyfaceoff
Ivan Barbashev,F,49,1,PP2,VGK,dailyfaceoff
Jack Eichel,F,9,1,PP1,VGK,dailyfaceoff
Mitch Marner,F,93,1,PP1,VGK,dailyfaceoff
Reilly Smith,F,19,2,PP2,VGK,dailyfaceoff
William Karlsson,F,71,2,PP2,VGK,dailyfaceoff
Mark Stone,F,61,2,PP1,VGK,dailyfaceoff
Brandon Saad,F,20,3,,VGK,dailyfaceoff
Tomas Hertl,F,48,3,PP1,VGK,dailyfaceoff
Pavel Dorofeyev,F,16,3,PP2,VGK,dailyfaceoff
Brett Howden,F,21,4,,VGK,dailyfaceoff
Colton Sissons,F,10,4,,VGK,dailyfaceoff
Keegan Kolesar,F,55,4,,VGK,dailyfaceoff
Brayden McNabb,D,3,1,,VGK,dailyfaceoff
Shea Theodore,D,27,1,PP1,VGK,dailyfaceoff
Noah Hanifin,D,15,2,PP2,VGK,dailyfaceoff
Zach Whitecloud,D,2,2,,VGK,dailyfaceoff
Jeremy Lauzon,D,5,3,,VGK,dailyfaceoff
Kaedan Korczak,D,6,3,,VGK,dailyfaceoff
Aliaksei Protas,F,21,1,PP2,WSH,dailyfaceoff
Dylan Strome,F,17,1,PP1,WSH,dailyfaceoff
Alex Ovechkin,F,8,1,PP1,WSH,dailyfaceoff
Connor McMichael,F,24,2,PP2,WSH,dailyfaceoff
Pierre-Luc Dubois,F,80,2,PP1,WSH,dailyfaceoff
Tom Wilson,F,43,2,PP1,WSH,dailyfaceoff
Anthony Beauvillier,F,72,3,,WSH,dailyfaceoff
Hendrix Lapierre,F,29,3,,WSH,dailyfaceoff
Ryan Leonard,F,9,3,PP2,WSH,dailyfaceoff
Brandon Duhaime,F,22,4,,WSH,dailyfaceoff
Nic Dowd,F,26,4,,WSH,dailyfaceoff
Justin Sourdif,F,34,4,,WSH,dailyfaceoff
Martin Fehervary,D,42,1,,WSH,dailyfaceoff
John Carlson,D,74,1,PP1,WSH,dailyfaceoff
Rasmus Sandin,D,38,2,PP2,WSH,dailyfaceoff
Matt Roy,D,3,2,,WSH,dailyfaceoff
Jakob Chychrun,D,6,3,PP2,WSH,dailyfaceoff
Trevor van Riemsdyk,D,57,3,,WSH,dailyfaceoff
Kyle Connor,F,81,1,PP1,WPG,dailyfaceoff
Mark Scheifele,F,55,1,PP1,WPG,dailyfaceoff
Gabriel Vilardi,F,13,1,PP1,WPG,dailyfaceoff
Cole Perfetti,F,91,2,PP1,WPG,dailyfaceoff
Jonathan Toews,F,19,2,PP2,WPG,dailyfaceoff
Gustav Nyquist,F,14,2,PP2,WPG,dailyfaceoff
Nino Niederreiter,F,62,3,PP2,WPG,dailyfaceoff
Vladislav Namestnikov,F,7,3,PP2,WPG,dailyfaceoff
Alex Iafallo,F,9,3,,WPG,dailyfaceoff
Tanner Pearson,F,70,4,,WPG,dailyfaceoff
Morgan Barron,F,36,4,,WPG,dailyfaceoff
Cole Koepke,F,45,4,,WPG,dailyfaceoff
Josh Morrissey,D,44,1,PP1,WPG,dailyfaceoff
Dylan DeMelo,D,2,1,,WPG,dailyfaceoff
Haydn Fleury,D,24,2,,WPG,dailyfaceoff
Neal Pionk,D,4,2,PP2,WPG,dailyfaceoff
Logan Stanley,D,64,3,,WPG,dailyfaceoff
Luke Schenn,D,5,3,,WPG,dailyfaceoff
