player_name,player_slug,cap_hit,team
"Gridin, Matvei",matvei-gridin,942500.0,CGY
"Battaglia, Jacob",jacob-battaglia,931667.0,CGY
"Suniev, Aydar",aydar-suniev,923333.0,CGY
"Strömgren, William",william-stromgren,900833.0,CGY
"Honzek, Samuel",samuel-honzek,886666.0,CGY
"King, Carter",carter-king,872500.0,CGY
"Basha, Andrew",andrew-basha,865000.0,CGY
"Bell, Parker",parker-bell,857500.0,CGY
"Ciona, Lucas",lucas-ciona,830000.0,CGY
"Hunt, Dryden",dryden-hunt,825000.0,CGY
"Bishop, Clark",clark-bishop,775000.0,CGY
"Kerins, Rory",rory-kerins,775000.0,CGY
"Morton, Sam",sam-morton,775000.0,CGY
"Brzustewicz, Hunter",hunter-brzustewicz,950000.0,CGY
"Morin, Etienne",etienne-morin,871666.0,CGY
"Grushnikov, Artyom",artyom-grushnikov,814167.0,CGY
"Kuznetsov, Yan",yan-kuznetsov,812500.0,CGY
"Poirier, Jeremie",jeremie-poirier,775000.0,CGY
"Cicek, Nick",nick-cicek,775000.0,CGY
"Okhotyuk, Nikita",nikita-okhotyuk,0.0,CGY
"Prosvetov, Ivan",ivan-prosvetov,950000.0,CGY
"Say, Owen",owen-say,872500.0,CGY
"Sergeyev, Arseni",arseni-sergeyev,866250.0,CGY
"Aho, Sebastian",sebastian-aho,9750000.0,CAR
"Ehlers, Nikolaj",nikolaj-ehlers,8500000.0,CAR
"Svechnikov, Andrei",andrei-svechnikov,7750000.0,CAR
"Jarvis, Seth",seth-jarvis,7420087.0,CAR
"Kotkaniemi, Jesperi",jesperi-kotkaniemi,4820000.0,CAR
"Hall, Taylor",taylor-hall,3166667.0,CAR
"Martinook, Jordan",jordan-martinook,3050000.0,CAR
"Staal, Jordan",jordan-staal,2900000.0,CAR
"Carrier, William",william-carrier,2000000.0,CAR
"Robinson, Eric",eric-robinson,1700000.0,CAR
"Blake, Jackson",jackson-blake,905833.0,CAR
"Stankoven, Logan",logan-stankoven,814167.0,CAR
"Jankowski, Mark",mark-jankowski,800000.0,CAR
"Miller, K'Andre",kandre-miller,7500000.0,CAR
"Slavin, Jaccob",jaccob-slavin,6396062.0,CAR
"Walker, Sean",sean-walker,3600000.0,CAR
"Gostisbehere, Shayne",shayne-gostisbehere,3200000.0,CAR
"Chatfield, Jalen",jalen-chatfield,3000000.0,CAR
"Reilly, Mike",mike-reilly,1100000.0,CAR
"Nikishin, Alexander",alexander-nikishin,925000.0,CAR
"Andersen, Frederik",frederik-andersen,2750000.0,CAR
"Kochetkov, Pyotr",pyotr-kochetkov,2000000.0,CAR
"Nadeau, Bradly",bradly-nadeau,918333.0,CAR
"Ryabkin, Ivan",ivan-ryabkin,918333.0,CAR
"Trikozov, Gleb",gleb-trikozov,862500.0,CAR
"Robidas, Justin",justin-robidas,825000.0,CAR
"Gunler, Noel",noel-gunler,813750.0,CAR
"Unger Sörum, Felix",felix-unger-sorum,803334.0,CAR
"Smith, Givani",givani-smith,775000.0,CAR
"Brind'Amour, Skyler",skyler-brindamour,775000.0,CAR
"Slavin, Josiah",josiah-slavin,775000.0,CAR
"Suzuki, Ryan",ryan-suzuki,775000.0,CAR
"Jaaska, Juha",juha-jaaska,775000.0,CAR
"Nystrom, Joel",joel-nystrom,925000.0,CAR
"Legault, Charles-Alexis",charles-alexis-legault,915833.0,CAR
"Montgomery, Bryce",bryce-montgomery,854910.0,CAR
"Badinka, Dominik",dominik-badinka,837700.0,CAR
"Seeley, Ronan",ronan-seeley,813750.0,CAR
"Heimosalmi, Aleksi",aleksi-heimosalmi,805833.0,CAR
"Bayreuther, Gavin",gavin-bayreuther,775000.0,CAR
"Fensore, Domenick",domenick-fensore,775000.0,CAR
"Khazheyev, Ruslan",ruslan-khazheyev,845000.0,CAR
"Primeau, Cayden",cayden-primeau,775000.0,CAR
"Miftakhov, Amir",amir-miftakhov,775000.0,CAR
"Quapp, Nikita",nikita-quapp,775000.0,CAR
"Burakovsky, Andre",andre-burakovsky,5500000.0,CHI
"Bertuzzi, Tyler",tyler-bertuzzi,5500000.0,CHI
"Teravainen, Teuvo",teuvo-teravainen,5400000.0,CHI
"Foligno, Nick",nick-foligno,4500000.0,CHI
"Dickinson, Jason",jason-dickinson,4250000.0,CHI
"Mikheyev, Ilya",ilya-mikheyev,4037500.0,CHI
"Donato, Ryan",ryan-donato,4000000.0,CHI
"Lafferty, Sam",sam-lafferty,2000000.0,CHI
"Reichel, Lukas",lukas-reichel,1200000.0,CHI
"Nazar, Frank",frank-nazar,950000.0,CHI
"Bedard, Connor",connor-bedard,950000.0,CHI
"Slaggert, Landon",landon-slaggert,900000.0,CHI
"Dach, Colton",colton-dach,825000.0,CHI
"Anderson, Joey",joey-anderson,800000.0,CHI
"Weber, Shea",shea-weber,7857143.0,CHI
"Vlasic, Alex",alex-vlasic,4600000.0,CHI
"Murphy, Connor",connor-murphy,4400000.0,CHI
"Kaiser, Wyatt",wyatt-kaiser,1700000.0,CHI
"Levshunov, Artyom",artyom-levshunov,975000.0,CHI
"Rinzel, Sam",sam-rinzel,941667.0,CHI
"Crevier, Louis",louis-crevier,900000.0,CHI
"Allan, Nolan",nolan-allan,825000.0,CHI
"Grzelcyk, Matt",matt-grzelcyk,0.0,CHI
"Knight, Spencer",spencer-knight,4500000.0,CHI
"Brossoit, Laurent",laurent-brossoit,3300000.0,CHI
"Soderblom, Arvid",arvid-soderblom,2750000.0,CHI
"Brodie, TJ",tj-brodie,3233333.0,CHI
"Jones, Seth",seth-jones,2500000.0,CHI
"Frondell, Anton",anton-frondell,975000.0,CHI
"Greene, Ryan",ryan-greene,950000.0,CHI
"Vanacker, Marek",marek-vanacker,942500.0,CHI
"Moore, Oliver",oliver-moore,941667.0,CHI
"Ludwinski, Paul",paul-ludwinski,900000.0,CHI
"Thompson, Aidan",aidan-thompson,895000.0,CHI
"Misiak, Martin",martin-misiak,878333.0,CHI
"Spellacy, AJ",aj-spellacy,874167.0,CHI
"Hayes, Gavin",gavin-hayes,865000.0,CHI
"Lardis, Nick",nick-lardis,865000.0,CHI
"Toninato, Dominic",dominic-toninato,850000.0,CHI
"Savoie, Samuel",samuel-savoie,846666.0,CHI
"Korchinski, Kevin",kevin-korchinski,918333.0,CHI
"Harding, Taige",taige-harding,880000.0,CHI
"Del Mastro, Ethan",ethan-del-mastro,855833.0,CHI
"Mast, Ryan",ryan-mast,830556.0,CHI
"Kuzmin, Dmitri",dmitri-kuzmin,795556.0,CHI
"Berezhnoy, Stanislav",stanislav-berezhnoy,975000.0,CHI
"Commesso, Drew",drew-commesso,925000.0,CHI
"MacKinnon, Nathan",nathan-mackinnon,12600000.0,COL
"Nelson, Brock",brock-nelson,7500000.0,COL
"Landeskog, Gabriel",gabriel-landeskog,7000000.0,COL
"Necas, Martin",martin-necas,6500000.0,COL
"Nichushkin, Valeri",valeri-nichushkin,6125000.0,COL
"Lehkonen, Artturi",artturi-lehkonen,4500000.0,COL
"Colton, Ross",ross-colton,4000000.0,COL
"O'Connor, Logan",logan-oconnor,2500000.0,COL
"Drury, Jack",jack-drury,1725000.0,COL
"Olofsson, Victor",victor-olofsson,1575000.0,COL
"Kiviranta, Joel",joel-kiviranta,1250000.0,COL
"Bardakov, Zakhar",zakhar-bardakov,867500.0,COL
"Kelly, Parker",parker--kelly,825000.0,COL
"Makar, Cale",cale-makar,9000000.0,COL
"Toews, Devon",devon-toews,7250000.0,COL
"Girard, Samuel",samuel-girard,5000000.0,COL
"Manson, Josh",josh-manson,4500000.0,COL
"Malinski, Sam",sam-malinski,1400000.0,COL
"Burns, Brent",brent-burns,1000000.0,COL
"Middleton, Keaton",keaton-middleton,775000.0,COL
"Solovyov, Ilya",ilya-solovyov,775000.0,COL
"Blackwood, MacKenzie",mackenzie-blackwood,5250000.0,COL
"Wedgewood, Scott",scott-wedgewood,1500000.0,COL
"Miner, Trent",trent-miner,775000.0,COL
"Brindley, Gavin",gavin-brindley,950000.0,COL
"Makar, Taylor",taylor-makar,925000.0,COL
"Bradley, Chase",chase-bradley,872500.0,COL
"Gay, Cooper",cooper-gay,872500.0,COL
"Ivan, Ivan",ivan-ivan,845000.0,COL
"Prishchepov, Nikita",nikita-prishchepov,806667.0,COL
"Tynan, TJ",tj-tynan,775000.0,COL
"Barre-Boulet, Alex",alex-barre-boulet,775000.0,COL
"Felhaber, Tye",tye-felhaber,775000.0,COL
"Stienburg, Matthew",matthew-stienburg,775000.0,COL
"Gushchin, Danil",danil-gushchin,775000.0,COL
"Polin, Jason",jason-polin,775000.0,COL
"Ranta, Sampo",sampo-ranta,0.0,COL
"Gagne, Alex",alex-gagne,910000.0,COL
"Behrens, Sean",sean-behrens,905833.0,COL
"Weinstein, Saige",saige-weinstein,783334.0,COL
"MacDonald, Jacob",jacob-macdonald,775000.0,COL
"Attard, Ronald",ronald-attard,775000.0,COL
"Ahcan, Jack",jack-ahcan,775000.0,COL
"Aamodt, Wyatt",wyatt-aamodt,775000.0,COL
"Boikov, Sergei",sergei-boikov,0.0,COL
"Nabokov, Ilya",ilya-nabokov,975000.0,COL
"Posch, Isak",isak-posch,872500.0,COL
"Monahan, Sean",sean-monahan,5500000.0,CBJ
"Coyle, Charlie",charlie-coyle,5250000.0,CBJ
"Voronkov, Dmitri",dimitri-voronkov,4175000.0,CBJ
"Marchenko, Kirill",kirill-marchenko,3850000.0,CBJ
"Jenner, Boone",boone-jenner,3750000.0,CBJ
"Olivier, Mathieu",mathieu-olivier,3000000.0,CBJ
"Wood, Miles",miles-wood,2500000.0,CBJ
"Sillinger, Cole",cole-sillinger,2250000.0,CBJ
"Chinakhov, Yegor",yegor-chinakhov,2100000.0,CBJ
"Johnson, Kent",kent-johnson,1800000.0,CBJ
"Lundestrom, Isac",isac-lundestrom,1300000.0,CBJ
"Fantilli, Adam",adam-fantilli,950000.0,CBJ
"Aston-Reese, Zach",zach-aston-reese,775000.0,CBJ
"Werenski, Zach",zach-werenski,9583333.0,CBJ
"Provorov, Ivan",ivan-provorov,8500000.0,CBJ
"Severson, Damon",damon-severson,6250000.0,CBJ
"Fabbro, Dante",dante-fabbro,4125000.0,CBJ
"Gudbranson, Erik",erik-gudbranson,4000000.0,CBJ
"Christiansen, Jake",jake-christiansen,975000.0,CBJ
"Mateychuk, Denton",denton-mateychuk,886666.0,CBJ
"Merzlikins, Elvis",elvis-merzlikins,5400000.0,CBJ
"Greaves, Jet",jet-greaves,812500.0,CBJ
"Fedotov, Ivan",ivan-fedotov,3275000.0,CBJ
"Wennberg, Alexander",alexander-wennberg,891667.0,CBJ
"Boqvist, Adam",adam-boqvist,533333.0,CBJ
"Williams, Jack",jack-williams,923750.0,CBJ
"Keskinen, Oiva",oiva-keskinen,860000.0,CBJ
"Del Bel Belluz, Luca",luca-del-bel-belluz,859999.0,CBJ
"Dumais, Jordan",jordan-dumais,859999.0,CBJ
"McCue, Max",max-mccue,858333.0,CBJ
"Pinelli, Luca",luca-pinelli,846666.0,CBJ
"Malatesta, James",james-malatesta,841666.0,CBJ
"McKown, Hunter",hunter-mckown,800000.0,CBJ
"Gaunce, Brendan",brendan-gaunce,775000.0,CBJ
"Fasching, Hudson",hudson-fasching,775000.0,CBJ
"Pyyhtia, Mikael",mikael-pyyhtia,775000.0,CBJ
"Sillinger, Owen",owen-sillinger,775000.0,CBJ
"Ceulemans, Corson",corson-ceulemans,925000.0,CBJ
"MacDonald, Caleb",caleb-macdonald,922500.0,CBJ
"Elick, Charlie",charlie-elick,906667.0,CBJ
"Richard, Guillaume",guillaume-richard,867500.0,CBJ
"Marrelli, Luca",luca-marrelli,838889.0,CBJ
"Svozil, Stanislav",stanislav-svozil,825000.0,CBJ
"Mayo, Dysin",dysin-mayo,775000.0,CBJ
"Berni, Tim",tim-berni,0.0,CBJ
"Fedotov, Ivan",ivan-fedotov,3275000.0,CBJ
"Gardner, Evan",evan-gardner,870833.0,CBJ
"Lalonde, Nolan",nolan-lalonde,785556.0,CBJ
"Sawchenko, Zachary",zachary-sawchenko,775000.0,CBJ
"Rantanen, Mikko",mikko-rantanen,12000000.0,DAL
"Seguin, Tyler",tyler-seguin,9850000.0,DAL
"Hintz, Roope",roope-hintz,8450000.0,DAL
"Johnston, Wyatt",wyatt-johnston,8400000.0,DAL
"Robertson, Jason",jason-robertson,7750000.0,DAL
"Duchene, Matt",matt-duchene,4500000.0,DAL
"Steel, Sam",sam-steel,2100000.0,DAL
"Faksa, Radek",radek-faksa,2000000.0,DAL
"Benn, Jamie",jamie-benn,1000000.0,DAL
"Bourque, Mavrik",mavrik-bourque,950000.0,DAL
"Hryckowian, Justin",justin-hryckowian,870000.0,DAL
"Back, Oskar",oskar-back,825000.0,DAL
"Bastian, Nathan",nathan-bastian,775000.0,DAL
"Blackwell, Colin",colin-blackwell,775000.0,DAL
"Heiskanen, Miro",miro-heiskanen,8450000.0,DAL
"Lindell, Esa",esa-lindell,5250000.0,DAL
"Harley, Thomas",thomas-harley,4000000.0,DAL
"Lyubushkin, Ilya",ilya-lyubushkin,3250000.0,DAL
"Lundkvist, Nils",nils-lundkvist,1250000.0,DAL
"Bichsel, Lian",lian-bichsel,918333.0,DAL
"Petrovic, Alexander",alexander-petrovic,775000.0,DAL
"Oettinger, Jake",jake-oettinger,8250000.0,DAL
"DeSmith, Casey",casey-desmith,1000000.0,DAL
"Bibeau, Antoine",antoine-bibeau,0.0,DAL
"Suter, Ryan",ryan-suter,1433333.0,DAL
"Scott, Harrison",harrison-scott,975000.0,DAL
"Hemming, Emil",emil-hemming,942500.0,DAL
"Fuder, Jaxon",jaxon-fuder,916667.0,DAL
"McDonald, Kyle",kyle-mcdonald,870000.0,DAL
"Hyry, Arttu",arttu-hyry,870000.0,DAL
"Martino, Ayrton",ayrton-martino,867500.0,DAL
"Ertel, Justin",justin-ertel,867500.0,DAL
"Wheatcroft, Chase",chase-wheatcroft,862500.0,DAL
"Seminoff, Matthew",matthew-seminoff,850000.0,DAL
"MacDonell, Angus",angus-macdonell,850000.0,DAL
"Arcuri, Francesco",francesco-arcuri,825000.0,DAL
"Hughes, Cameron",cameron-hughes,775000.0,DAL
"Lind, Kole",kole-lind,775000.0,DAL
"Stranges, Antonio",antonio-stranges,775000.0,DAL
"Taylor, Trey",trey-taylor,975000.0,DAL
"Kyrou, Christian",christian-kyrou,878333.0,DAL
"Punnett, Connor",connor-punnett,870000.0,DAL
"Krys, Luke",luke-krys,870000.0,DAL
"White, Gavin",gavin-white,857500.0,DAL
"Muhonen, Niilopekka",niilopekka-muhonen,850000.0,DAL
"Bertucci, Tristan",tristan-bertucci,846666.0,DAL
"Capobianco, Kyle",kyle-capobianco,775000.0,DAL
"Kolyachonok, Vladislav",vladislav-kolyachonok,775000.0,DAL
"Tiefensee, Arno",arno-tiefensee,850000.0,DAL
"Poirier, Remi",remi-poirier,775000.0,DAL
"Kraws, Benjamin",benjamin-kraws,775000.0,DAL
"Larkin, Dylan",dylan-larkin,8700000.0,DET
"Raymond, Lucas",Lucas-Raymond,8075000.0,DET
"Debrincat, Alex",alex-debrincat,7875000.0,DET
"Copp, Andrew",andrew-copp,5625000.0,DET
"Compher, J.T.",jt-compher,5100000.0,DET
"Rasmussen, Michael",michael-rasmussen,3200000.0,DET
"Kane, Patrick",patrick-kane,3000000.0,DET
"Appleton, Mason",mason-appleton,2900000.0,DET
"Berggren, Jonatan",jonatan-berggren,1825000.0,DET
"Soderblom, Elmer",elmer-soderblom,1125000.0,DET
"van Riemsdyk, James",james-vanriemsdyk,1000000.0,DET
"Brandsegg-Nygård, Michael",michael-brandsegg-nygard,942500.0,DET
"Kasper, Marco",marco-kasper,886666.0,DET
"Seider, Moritz",moritz-seider,8550000.0,DET
"Chiarot, Ben",ben-chiarot,4750000.0,DET
"Holl, Justin",justin-holl,3400000.0,DET
"Gustafsson, Erik",erik-gustafsson,2000000.0,DET
"Johansson, Albert",albert-johansson,1125000.0,DET
"Hamonic, Travis",travis-hamonic,1000000.0,DET
"Edvinsson, Simon",simon-edvinsson,894167.0,DET
"Bernard-Docker, Jacob",jacob-bernard-docker,875000.0,DET
"Gibson, John",john-gibson,6400000.0,DET
"Talbot, Cam",cam-talbot,2500000.0,DET
"Abdelkader, Justin",justin-abdelkader,1055556.0,DET
"Bear, Carter",carter-bear,975000.0,DET
"Kiiskinen, Jesse",jesse-kiiskinen,923333.0,DET
"Mazur, Carter",carter-mazur,905833.0,DET
"Danielson, Nate",nate-danielson,886666.0,DET
"Doucet, Alexandre",alexandre-doucet,870000.0,DET
"Rychlovsky, Jakub",jakub-rychlovsky,870000.0,DET
"Becher, Ondrej",ondrej-becher,865000.0,DET
"Lombardi, Amadeus",amadeus-lombardi,838333.0,DET
"Finnie, Emmitt",emmitt-finnie,821667.0,DET
"Watson, Austin",austin-watson,775000.0,DET
"Dries, Sheldon",sheldon-dries,775000.0,DET
"Shine, Dominik",dominik-shine,775000.0,DET
"Leonard, John",john-leonard,775000.0,DET
"Tralmaks, Eduards",eduards-tralmaks,775000.0,DET
"Wallinder, William",william-wallinder,925000.0,DET
"Buium, Shai",shai-buium,925000.0,DET
"Sandin Pellikka, Axel",axel-sandin-pellikka,918333.0,DET
"Johansson, Anton",anton-johansson,870000.0,DET
"Tuomisto, Antti",antti-tuomisto,813750.0,DET
"Lagesson, William",william-lagesson,775000.0,DET
"Mitchell, Ian",ian-mitchell,775000.0,DET
"Viro, Eemil",eemil-viro,0.0,DET
"Postava, Michal",michal-postava,975000.0,DET
"Cossa, Sebastian",sebastian-cossa,863334.0,DET
"Gylander, Carter",carter-gylander,855000.0,DET
"Draisaitl, Leon",leon-draisaitl,14000000.0,EDM
"McDavid, Connor",connor-mcdavid,12500000.0,EDM
"Hyman, Zach",zach-hyman,5500000.0,EDM
"Nugent-Hopkins, Ryan",ryan-nugent-hopkins,5125000.0,EDM
"Frederic, Trent",trent-frederic,3850000.0,EDM
"Mangiapane, Andrew",andrew-mangiapane,3600000.0,EDM
"Henrique, Adam",adam-henrique,3000000.0,EDM
"Janmark, Mattias",mattias-janmark,1450000.0,EDM
"Kapanen, Kasperi",kasperi-kapanen,1300000.0,EDM
"Tomasek, David",david-tomasek,1200000.0,EDM
"Podkolzin, Vasily",vasily-podkolzin,1000000.0,EDM
"Howard, Isaac",isaac-howard,950000.0,EDM
"Savoie, Matthew",matthew-savoie,886666.0,EDM
