player_name,position,jersey_number,line,team,source,pp_unit
Jenner,F,38,2,CBJ,puckpedia,PP1
Coyle,F,3,3,CBJ,puckpedia,PP2
Lundestrom,F,21,4,CBJ,puckpedia,
Marchenko,F,86,1,CBJ,puckpedia,PP1
Fantilli,F,19,2,CBJ,puckpedia,PP2
Olivier,F,24,3,CBJ,puckpedia,
Wood,F,11,4,CBJ,puckpedia,
Werenski,D,8,1,CBJ,puckpedia,PP1
Provorov,D,9,2,CBJ,puckpedia,PP2
Mateychuk,D,5,3,CBJ,puckpedia,
Fabbro,D,15,1,CBJ,puckpedia,
Severson,D,78,2,CBJ,puckpedia,PP2
Gudbranson,D,44,3,CBJ,puckpedia,
Robertson,F,21,1,DAL,puckpedia,PP1
Steel,F,18,2,DAL,puckpedia,
Johnston,F,53,3,DAL,puckpedia,PP1
Blackwell,F,15,4,DAL,puckpedia,
Hintz,F,24,1,DAL,puckpedia,PP1
Duchene,F,95,2,DAL,puckpedia,PP2
Faksa,F,12,3,DAL,puckpedia,
Back,F,10,4,DAL,puckpedia,
Rantanen,F,96,1,DAL,puckpedia,PP1
Seguin,F,91,2,DAL,puckpedia,PP2
Bourque,F,22,3,DAL,puckpedia,PP2
Bastian,F,11,4,DAL,puckpedia,
Lindell,D,23,1,DAL,puckpedia,PP2
Harley,D,55,2,DAL,puckpedia,PP1
Bichsel,D,6,3,DAL,puckpedia,
Heiskanen,D,4,1,DAL,puckpedia,PP2
Lundkvist,D,5,2,DAL,puckpedia,
Lyubushkin,D,46,3,DAL,puckpedia,
Copp,F,18,1,DET,puckpedia,
Debrincat,F,93,2,DET,puckpedia,PP1
Soderblom,F,85,3,DET,puckpedia,
van Riemsdyk,F,21,4,DET,puckpedia,PP2
Larkin,F,71,1,DET,puckpedia,PP1
Kasper,F,92,2,DET,puckpedia,PP2
Compher,F,37,3,DET,puckpedia,PP2
Rasmussen,F,27,4,DET,puckpedia,
Raymond,F,23,1,DET,puckpedia,PP1
Kane,F,88,2,DET,puckpedia,PP1
Appleton,F,22,3,DET,puckpedia,
Berggren,F,48,4,DET,puckpedia,PP2
Chiarot,D,8,1,DET,puckpedia,
Edvinsson,D,77,2,DET,puckpedia,
Johansson,D,20,3,DET,puckpedia,
